NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
C.J. Watson,Ind,PG,29,63,18.7,38.8,16.8,0.136,88,0.784,190,3.015873016,0.489,1.474761905,145,2.301587302,0.366,0.842380952,5.317460317,2.317142857,0.435761194,0.554,6.6,1.6,4.8,1.7,14.6,0.95,0.13,5.6,1.095111111,16.91843744,12.35045933,0.514970149
Earl Watson,Por,PG,34,24,6.5,13.1,8.3,0.571,4,1,4,0.166666667,0.25,0.041666667,7,0.291666667,0.286,0.083416667,0.458333333,0.125083333,0.272909091,0.47,0.5,0.6,5.2,1.2,22.8,0.21,0.04,4.4,0.166666667,7.490771407,5.468263127,0.363909091
Martell Webster,Was,SF,27,78,27.5,56.1,14.8,0.083,125,0.84,215,2.756410256,0.502,1.383717949,372,4.769230769,0.392,1.869538462,7.525641026,3.25325641,0.432289608,0.591,9.7,2.9,6,1.2,6.7,0.53,0.19,4.7,1.346153846,14.83373627,10.82862748,0.556500852
David West,Ind,PF,33,80,30.7,63.7,22,0.112,251,0.789,924,11.55,0.491,5.67105,15,0.1875,0.267,0.0500625,11.7375,5.7211125,0.487421725,0.533,14,6.8,12.4,2.8,16.2,0.76,0.93,8.4,2.4754875,23.35066152,17.04598291,0.489554313
Russell Westbrook,Okc,PG,25,46,30.5,62.8,34.7,0.161,293,0.826,578,12.56521739,0.483,6.069,214,4.652173913,0.318,1.479391304,17.2173913,7.548391304,0.438416667,0.545,21.8,5.7,10.6,6.9,40.7,1.91,0.15,12.5,5.26126087,37.28512803,27.21814346,0.481378788
D.J. White,Cha,PF,27,2,5.1,7.2,4.6,0,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,1,11.2,0,0,0.5,0,0,0,0,0,0
Deron Williams,Bro,PG,29,64,32,65.8,21.9,0.15,216,0.801,448,7,0.5,3.5,268,4.1875,0.366,1.532625,11.1875,5.032625,0.449843575,0.564,14.3,2.6,4.9,6.1,33.1,1.45,0.2,7.6,2.703375,24.14455638,17.62552616,0.518340782
Derrick Williams,Min,PF,22,11,14.5,28.4,17.8,0.089,16,0.875,39,3.545454545,0.436,1.545818182,15,1.363636364,0.133,0.181363636,4.909090909,1.727181818,0.351833333,0.442,4.9,2.4,8.8,0.1,0.9,0.36,0.36,2.9,1.272727273,12.0154953,8.77131157,0.370305555
Derrick Williams,Sac,SF,22,67,24.6,50.7,16.2,0.116,243,0.708,343,5.119402985,0.475,2.431716418,84,1.253731343,0.286,0.358567164,6.373134328,2.790283582,0.437819672,0.534,8.5,4.4,10.2,0.8,5.1,0.66,0.24,5,2.567820896,17.30182587,12.63033288,0.46595082
Elliot Williams,Phi,SG,24,67,17.1,35.2,16.9,0.149,119,0.731,212,3.164179104,0.486,1.537791045,125,1.865671642,0.296,0.552238806,5.029850746,2.090029851,0.415525223,0.519,6,1.9,6.1,1.1,9.5,0.52,0.04,5.4,1.298343284,15.00599311,10.95437497,0.470421365
Louis Williams,Atl,PG,27,60,23.9,49.2,21.1,0.139,179,0.849,262,4.366666667,0.45,1.965,231,3.85,0.342,1.3167,8.216666667,3.2817,0.399395538,0.547,10.4,2.1,5,3.5,23.1,0.75,0.07,7.1,2.53285,21.06744179,15.37923251,0.47951927
Marvin Williams,Uta,PF,27,66,25.1,52,16.9,0.087,73,0.781,292,4.424242424,0.503,2.225393939,234,3.545454545,0.359,1.272818182,7.96969697,3.498212121,0.438939163,0.54,9.1,5.1,11.6,1.2,7.7,0.82,0.47,6.1,0.863833333,17.33007354,12.65095369,0.518792776
