NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTAT,FTA,FTM,FT%,2PAT,2PA,2PM,2P%,3PAT,3PA,3PM,3P%,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TO,VI,ORTG,DRTG,PER_n,PER
James Nunnally,Nor,F,30.84,9.00,5.30,11.10,14.00,12.60,2.00,0.22,0.11,0.50,1.00,0.11,0.11,1.00,12.00,1.33,0.44,0.33,1.44,0.56,0.54,0.54,1.70,1.00,10.20,0.30,8.10,0.00,0.00,0.22,6.00,107.00,116.30,4.88,3.66
Kendrick Nunn,Mia,G,25.79,56.00,29.50,61.40,20.90,10.50,60.00,1.07,1.00,0.93,338.00,6.04,3.52,0.58,320.00,5.71,2.18,0.38,11.75,5.70,0.58,0.60,14.60,3.20,6.20,2.60,14.50,0.96,0.25,1.43,6.70,110.60,108.50,17.72,13.29
Jusuf Nurkic,Por,C,26.73,37.00,23.80,49.60,22.30,16.00,113.00,3.05,1.89,0.62,303.00,8.19,4.30,0.53,30.00,0.81,0.32,0.40,9.00,4.62,0.53,0.55,11.50,9.00,20.20,3.40,21.40,1.03,1.08,1.97,11.90,112.70,101.80,24.61,18.46
David Nwaba,Hou,G-F,28.34,30.00,22.60,47.10,16.50,6.40,68.00,2.27,1.57,0.69,154.00,5.13,2.97,0.58,63.00,2.10,0.57,0.27,7.23,3.53,0.53,0.56,9.20,3.90,9.30,1.00,6.90,1.00,0.70,0.57,5.80,115.10,109.20,17.10,12.82
Jordan Nwora,Mil,F,22.69,30.00,9.10,19.00,26.00,14.10,25.00,0.83,0.63,0.76,73.00,2.43,1.13,0.47,62.00,2.07,0.93,0.45,4.50,2.07,0.56,0.59,5.70,2.00,11.50,0.20,3.60,0.53,0.23,0.80,5.80,101.70,103.60,18.55,13.91
Semi Ojeleye,Bos,F,26.45,56.00,17.00,35.30,11.60,8.20,32.00,0.57,0.43,0.75,63.00,1.13,0.55,0.49,158.00,2.82,1.04,0.37,3.95,1.59,0.53,0.55,4.60,2.60,8.60,0.70,5.10,0.30,0.00,0.38,4.80,113.90,111.80,9.38,7.03
Jahlil Okafor,Det,C-F,25.42,27.00,12.90,26.80,16.70,15.80,24.00,0.89,0.63,0.71,92.00,3.41,2.26,0.66,9.00,0.33,0.07,0.22,3.74,2.33,0.63,0.65,5.40,2.40,10.40,0.50,6.10,0.22,0.19,0.78,5.80,113.70,105.20,14.57,10.93
Chuma Okeke,Orl,F,22.75,45.00,25.20,52.40,14.50,10.00,40.00,0.89,0.67,0.75,183.00,4.07,1.91,0.47,141.00,3.13,1.09,0.35,7.20,3.00,0.49,0.51,7.80,4.00,8.30,2.20,13.20,1.07,0.51,0.84,6.50,106.50,112.60,13.54,10.16
Josh Okogie,Min,G,22.71,59.00,20.30,42.30,12.10,12.50,108.00,1.83,1.41,0.77,146.00,2.47,1.24,0.50,108.00,1.83,0.49,0.27,4.31,1.73,0.46,0.52,5.40,2.60,7.10,1.10,7.00,0.92,0.47,0.73,4.90,108.40,109.00,10.93,8.20
Onyeka Okongwu,Atl,F-C,20.43,50.00,12.00,25.10,14.70,14.30,57.00,1.14,0.72,0.63,146.00,2.92,1.92,0.66,3.00,0.06,0.00,0.00,2.98,1.92,0.64,0.66,4.60,3.30,14.80,0.40,4.40,0.46,0.66,0.58,6.10,123.60,96.70,18.54,13.90
Isaac Okoro,Cle,F-G,20.30,67.00,32.40,67.60,14.30,12.00,157.00,2.34,1.70,0.73,345.00,5.15,2.58,0.50,214.00,3.19,0.93,0.29,8.34,3.51,0.48,0.51,9.60,3.10,5.30,1.90,8.60,0.93,0.36,1.28,4.70,102.50,110.90,9.98,7.48
KZ Okpala,Mia,F-G,22.05,37.00,12.10,25.20,11.90,12.80,15.00,0.41,0.22,0.53,46.00,1.24,0.65,0.52,50.00,1.35,0.32,0.24,2.59,0.97,0.44,0.45,2.50,1.80,8.70,0.50,5.80,0.27,0.30,0.41,4.30,94.00,101.30,5.89,4.42
Victor Oladipo,Ind,G,29.03,9.00,33.30,69.30,26.50,9.70,37.00,4.11,3.00,0.73,83.00,9.22,4.33,0.47,69.00,7.67,2.78,0.36,16.89,7.11,0.50,0.54,20.00,5.70,9.20,4.20,18.70,1.67,0.22,2.00,9.40,104.10,107.30,21.63,16.22
Victor Oladipo,Hou,G,29.03,20.00,33.50,69.70,29.80,10.90,83.00,4.15,3.25,0.78,228.00,11.40,5.30,0.47,153.00,7.65,2.45,0.32,19.05,7.75,0.47,0.51,21.20,4.80,7.60,5.00,25.30,1.20,0.50,2.55,9.50,100.30,111.60,20.24,15.18
Victor Oladipo,Mia,G,29.03,4.00,27.80,57.90,26.30,21.60,18.00,4.50,3.00,0.67,26.00,6.50,3.00,0.46,17.00,4.25,1.00,0.24,10.75,4.00,0.42,0.47,12.00,3.50,7.20,3.50,18.80,1.75,0.50,3.50,7.60,85.90,100.50,11.98,8.98
Cameron Oliver,Hou,F,20.00,4.00,21.90,45.50,18.40,7.90,4.00,1.00,0.25,0.25,20.00,5.00,3.75,0.75,13.00,3.25,1.00,0.31,8.25,4.75,0.64,0.62,10.80,5.30,12.80,1.30,9.50,0.50,1.00,0.75,7.70,117.40,104.60,21.72,16.29
Kelly Olynyk,Mia,F-C,30.08,43.00,26.90,56.00,17.50,12.30,40.00,0.93,0.72,0.78,134.00,3.12,1.98,0.63,242.00,5.63,1.79,0.32,8.74,3.77,0.53,0.55,10.00,6.10,12.90,2.10,11.70,0.93,0.60,1.28,7.50,105.60,101.00,16.04,12.03
Kelly Olynyk,Hou,F-C,30.08,27.00,31.10,64.80,22.90,15.70,135.00,5.00,4.22,0.84,196.00,7.26,4.67,0.64,125.00,4.63,1.81,0.39,11.89,6.48,0.62,0.67,19.00,8.40,14.50,4.10,21.90,1.44,0.59,2.63,11.20,123.10,105.00,28.21,21.15
